sample_id	age	genotype	new_annotation	entropy
049	14mos	WT	5_Other	NA
049	14mos	WT	9_Non-exhausted effectors	1.38629436111989
049	14mos	WT	8_Precursor exhausted CTLs	1.73286795139986
049	14mos	WT	2_Exhausted CTLs	1.6094379124341
049	14mos	WT	7_CM/EM	1.94591014905531
049	14mos	WT	3_Activated CTLs	1.56071040904141
049	14mos	WT	11_Cycling	NA
051	14mos	WT	1_CM/EM	3.87120101090789
051	14mos	WT	0_Naïve	4.39444915467244
051	14mos	WT	5_Other	1.09861228866811
051	14mos	WT	7_CM/EM	2.39789527279837
051	14mos	WT	4_Naïve	3.2188758248682
051	14mos	WT	6_CM/EM	2.54326069230362
051	14mos	WT	8_Precursor exhausted CTLs	NA
051	14mos	WT	9_Non-exhausted effectors	1.6094379124341
051	14mos	WT	13_Early exhausted CTLs	1.09861228866811
051	14mos	WT	2_Exhausted CTLs	NA
051	14mos	WT	3_Activated CTLs	NA
051	14mos	WT	11_Cycling	NA
113	14mos	WT	8_Precursor exhausted CTLs	2.04319187054512
113	14mos	WT	2_Exhausted CTLs	1.42706104338072
113	14mos	WT	1_CM/EM	1.6094379124341
113	14mos	WT	9_Non-exhausted effectors	1.79175946922805
113	14mos	WT	0_Naïve	2.70805020110221
113	14mos	WT	3_Activated CTLs	1.94591014905531
113	14mos	WT	7_CM/EM	1.38629436111989
113	14mos	WT	4_Naïve	1.94591014905531
113	14mos	WT	5_Other	0.636514168294813
113	14mos	WT	6_CM/EM	1.79175946922805
113	14mos	WT	13_Early exhausted CTLs	NA
115	14mos	WT	0_Naïve	NA
115	14mos	WT	3_Activated CTLs	NA
115	14mos	WT	9_Non-exhausted effectors	NA
115	14mos	WT	5_Other	NA
115	14mos	WT	7_CM/EM	NA
115	14mos	WT	2_Exhausted CTLs	1.38629436111989
115	14mos	WT	4_Naïve	NA
115	14mos	WT	6_CM/EM	NA
115	14mos	WT	11_Cycling	NA
115	14mos	WT	1_CM/EM	NA
118	14mos	WT	0_Naïve	3.78418963391826
118	14mos	WT	4_Naïve	2.30258509299405
118	14mos	WT	13_Early exhausted CTLs	NA
118	14mos	WT	3_Activated CTLs	1.38629436111989
118	14mos	WT	7_CM/EM	1.97300140639361
118	14mos	WT	5_Other	NA
118	14mos	WT	11_Cycling	NA
118	14mos	WT	1_CM/EM	2.41221020143182
118	14mos	WT	6_CM/EM	1.6094379124341
118	14mos	WT	8_Precursor exhausted CTLs	1.03972077083992
118	14mos	WT	2_Exhausted CTLs	1.6094379124341
118	14mos	WT	9_Non-exhausted effectors	0.325082973391448
129	14mos	WT	0_Naïve	3.87120101090789
129	14mos	WT	6_CM/EM	3.43398720448515
129	14mos	WT	7_CM/EM	3.09104245335832
129	14mos	WT	1_CM/EM	4.12713438504509
129	14mos	WT	9_Non-exhausted effectors	0.286835983056161
129	14mos	WT	4_Naïve	2.94443897916644
129	14mos	WT	3_Activated CTLs	2.19722457733622
129	14mos	WT	8_Precursor exhausted CTLs	2.30258509299405
129	14mos	WT	13_Early exhausted CTLs	1.38629436111989
129	14mos	WT	11_Cycling	NA
129	14mos	WT	2_Exhausted CTLs	1.38629436111989
129	14mos	WT	5_Other	NA
079	14mos	CD70-/-	1_CM/EM	3.96483650288298
079	14mos	CD70-/-	9_Non-exhausted effectors	NA
079	14mos	CD70-/-	4_Naïve	2.63905732961526
079	14mos	CD70-/-	0_Naïve	4.35670882668959
079	14mos	CD70-/-	11_Cycling	NA
079	14mos	CD70-/-	6_CM/EM	3.02802907330741
079	14mos	CD70-/-	2_Exhausted CTLs	1.38629436111989
079	14mos	CD70-/-	3_Activated CTLs	1.38629436111989
079	14mos	CD70-/-	8_Precursor exhausted CTLs	1.6094379124341
079	14mos	CD70-/-	5_Other	NA
079	14mos	CD70-/-	7_CM/EM	1.79175946922805
079	14mos	CD70-/-	13_Early exhausted CTLs	NA
010b	14mos	CD70-/-	1_CM/EM	3.84666674825509
010b	14mos	CD70-/-	0_Naïve	3.95124371858143
010b	14mos	CD70-/-	9_Non-exhausted effectors	NA
010b	14mos	CD70-/-	7_CM/EM	1.74786809746676
010b	14mos	CD70-/-	4_Naïve	2.89037175789616
010b	14mos	CD70-/-	6_CM/EM	2.70805020110221
010b	14mos	CD70-/-	13_Early exhausted CTLs	1.09861228866811
010b	14mos	CD70-/-	5_Other	1.38629436111989
010b	14mos	CD70-/-	8_Precursor exhausted CTLs	NA
008	14mos	CD70-/-	1_CM/EM	3.96331192876576
008	14mos	CD70-/-	0_Naïve	3.25809653802148
008	14mos	CD70-/-	7_CM/EM	1.79175946922805
008	14mos	CD70-/-	13_Early exhausted CTLs	NA
008	14mos	CD70-/-	4_Naïve	2.39789527279837
008	14mos	CD70-/-	6_CM/EM	2.39789527279837
008	14mos	CD70-/-	3_Activated CTLs	NA
008	14mos	CD70-/-	11_Cycling	1.38629436111989
008	14mos	CD70-/-	9_Non-exhausted effectors	1.73286795139986
008	14mos	CD70-/-	5_Other	NA
008	14mos	CD70-/-	2_Exhausted CTLs	NA
008	14mos	CD70-/-	8_Precursor exhausted CTLs	NA
075	14mos	CD70-/-	1_CM/EM	0.0815104109503315
075	14mos	CD70-/-	11_Cycling	0
075	14mos	CD70-/-	0_Naïve	2.07944154167984
075	14mos	CD70-/-	6_CM/EM	0
075	14mos	CD70-/-	7_CM/EM	0.410116318288409
075	14mos	CD70-/-	3_Activated CTLs	1.09861228866811
075	14mos	CD70-/-	8_Precursor exhausted CTLs	1.09861228866811
075	14mos	CD70-/-	9_Non-exhausted effectors	1.09861228866811
075	14mos	CD70-/-	2_Exhausted CTLs	1.09861228866811
075	14mos	CD70-/-	13_Early exhausted CTLs	0
075	14mos	CD70-/-	5_Other	NA
075	14mos	CD70-/-	4_Naïve	1.09861228866811
076	14mos	CD70-/-	7_CM/EM	NA
076	14mos	CD70-/-	5_Other	NA
076	14mos	CD70-/-	6_CM/EM	NA
076	14mos	CD70-/-	9_Non-exhausted effectors	NA
076	14mos	CD70-/-	1_CM/EM	NA
076	14mos	CD70-/-	3_Activated CTLs	NA
076	14mos	CD70-/-	4_Naïve	NA
126	14mos	CD70-/-	6_CM/EM	2.99573227355399
126	14mos	CD70-/-	4_Naïve	2.36938211969468
126	14mos	CD70-/-	7_CM/EM	2.87147611805487
