sample_id	age	genotype	new_annotation	richness
083	14mos	Bcl6tg/+	0_Naïve	5
083	14mos	Bcl6tg/+	9_Non-exhausted effectors	NA
083	14mos	Bcl6tg/+	5_Other	2
083	14mos	Bcl6tg/+	7_CM/EM	2
083	14mos	Bcl6tg/+	4_Naïve	1
083	14mos	Bcl6tg/+	11_Cycling	2
083	14mos	Bcl6tg/+	2_Exhausted CTLs	15
083	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	6
083	14mos	Bcl6tg/+	6_CM/EM	1
083	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
089	14mos	CD70-/-;Bcl6tg/+	1_CM/EM	23
089	14mos	CD70-/-;Bcl6tg/+	7_CM/EM	4
089	14mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
089	14mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	6
089	14mos	CD70-/-;Bcl6tg/+	6_CM/EM	5
089	14mos	CD70-/-;Bcl6tg/+	4_Naïve	3
089	14mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	21
089	14mos	CD70-/-;Bcl6tg/+	0_Naïve	14
089	14mos	CD70-/-;Bcl6tg/+	5_Other	NA
089	14mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
089	14mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	7
089	14mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
089	14mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	NA
090	14mos	CD70-/-;Bcl6tg/+	0_Naïve	52
090	14mos	CD70-/-;Bcl6tg/+	1_CM/EM	81
090	14mos	CD70-/-;Bcl6tg/+	6_CM/EM	21
090	14mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	5
090	14mos	CD70-/-;Bcl6tg/+	4_Naïve	18
090	14mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	5
090	14mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	14
090	14mos	CD70-/-;Bcl6tg/+	7_CM/EM	13
090	14mos	CD70-/-;Bcl6tg/+	5_Other	6
090	14mos	CD70-/-;Bcl6tg/+	11_Cycling	3
090	14mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	9
090	14mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
090	14mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	NA
087	14mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	12
087	14mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	14
087	14mos	CD70-/-;Bcl6tg/+	6_CM/EM	9
087	14mos	CD70-/-;Bcl6tg/+	7_CM/EM	6
087	14mos	CD70-/-;Bcl6tg/+	1_CM/EM	33
087	14mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	14
087	14mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	1
087	14mos	CD70-/-;Bcl6tg/+	0_Naïve	11
087	14mos	CD70-/-;Bcl6tg/+	4_Naïve	3
087	14mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	6
087	14mos	CD70-/-;Bcl6tg/+	5_Other	7
087	14mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	2
100	14mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
100	14mos	CD70-/-;Bcl6tg/+	5_Other	NA
100	14mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	11
100	14mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	4
100	14mos	CD70-/-;Bcl6tg/+	6_CM/EM	NA
100	14mos	CD70-/-;Bcl6tg/+	1_CM/EM	12
100	14mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	5
